"Nom";"ISIN";"Symbole";"Marché";"Trading Currency";"Ouvert";"Haut";"Bas";"Dernier";"Last Date/Time";"Time Zone";"Volume";"Capitaux"
"European Equities";"";;;;;;;;;;;
"02 Nov 2013";;;;;;;;;;;;
"All datapoints provided as of end of last active trading day.";;;;;;;;;;;;
"FIAT INDUSTRIAL";"IT0004644743";"FIm";"NYSE Arca Europe";"EUR";"8,425";"8,425";"8,425";"8,425";"16/04/2013 09:06";"CET";"800";"6740,00"
"FIAT SPA ORD.RGP";"IT0001976403";"FSOR";"NYSE Euronext Paris";"EUR";"5,95";"5,95";"5,59";"5,59";"30/10/2013 13:59";"CET";"300";"1713,00"
"FIDELITY CHINA SPC";"GB00B62Z3C74";"FCSSl";"NYSE Arca Europe";"GBX";"85,30";"85,30";"85,30";"85,30";"09/07/2013 13:12";"CET";"200";"17060,00"
"FIDELITY EUROPEAN";"GB0003375820";"FEVl";"NYSE Arca Europe";"GBX";"1497,00";"1497,00";"1497,00";"1497,00";"06/08/2013 11:40";"CET";"93";"139221,00"
"FIDELITY SPEC VALU";"GB0003325106";"FSVl";"NYSE Arca Europe";"GBX";"749,00";"749,00";"749,00";"749,00";"12/06/2013 16:43";"CET";"23";"17227,00"
"FIDESSA GROUP";"GB0007590234";"FDSAl";"NYSE Arca Europe";"GBX";"2093,00";"2093,00";"2093,00";"2093,00";"16/08/2013 17:27";"CET";"50";"104650,00"
"FIDUCIAL OFF.SOL.";"FR0000061418";"SACI";"NYSE Euronext Paris";"EUR";"27,76";"27,76";"27,76";"27,76";"01/11/2013 11:30";"CET";"1";"27,76"
"FIDUCIAL REAL EST.";"FR0000060535";"ORIA";"NYSE Euronext Paris";"EUR";"89,01";"89,01";"89,01";"89,01";"01/11/2013 11:30";"CET";"1";"89,01"
"FIELMANN";"DE0005772206";"FIEd";"NYSE Arca Europe";"EUR";"81,68";"81,68";"81,46";"81,46";"29/05/2013 12:28";"CET";"14";"1141,98"
"FIMALAC";"FR0000037947";"FIM";"NYSE Euronext Paris";"EUR";"45,85";"46,15";"45,85";"46,00";"01/11/2013 17:35";"CET";"1831";"84207,40"
"FIN.ETANG BERRE";"FR0000062341";"BERR";"NYSE Euronext Paris";"EUR";"7,99";"7,99";"7,99";"7,99";"01/11/2013 16:30";"CET";"70";"559,30"
"FIN.ETANG BERRE PF";"FR0000062507";"EBPF";"NYSE Euronext Paris";"EUR";"193,99";"193,99";"193,99";"193,99";"31/10/2013 11:30";"CET";"25";"4849,75"
"FIN.OUEST AFRICAIN";"SN0000033192";"FOAF";"NYSE Euronext Paris";"EUR";"2,56";"2,56";"2,56";"2,56";"22/07/2013 16:30";"CET";"15";"38,40"
"FINANCIER CROI INV";"FR0010480517";"MLFCI";"Marché Libre Paris";"EUR";"0,13";"0,13";"0,13";"0,13";"28/10/2013 15:00";"CET";"50";"6,50"
"FINANCIERE MARJOS";"FR0000060824";"FINM";"NYSE Euronext Paris";"EUR";"1,29";"1,29";"1,29";"1,29";"26/01/2011 15:30";"CET";"100";"-"
"FINANCIERE ODET";"FR0000062234";"ODET";"NYSE Euronext Paris";"EUR";"776,00";"777,25";"770,00";"777,25";"01/11/2013 17:27";"CET";"171";"132420,50"
"FINANCIERE SICOMAX";"FR0000066797";"MLSIC";"Marché Libre Paris";"EUR";"9,94";"9,94";"9,94";"9,94";"09/09/2013 15:00";"CET";"9";"89,46"
"FINATIS";"FR0000035123";"FNTS";"NYSE Euronext Paris";"EUR";"71,00";"71,00";"71,00";"71,00";"01/11/2013 11:30";"CET";"1";"71,00"
"FINAXO";"FR0010487272";"MLFXO";"Marché Libre Paris";"EUR";"7,28";"7,28";"7,28";"7,28";"01/11/2013 15:00";"CET";"600";"4368,00"
"FINEST";"BE0003715290";"FINE";"NYSE Euronext Brussels";"EUR";"5,12";"5,12";"5,12";"5,12";"01/11/2013 15:00";"CET";"80";"409,60"
"FINMECCANICA";"IT0003856405";"FNCm";"NYSE Arca Europe";"EUR";"3,63";"3,63";"3,63";"3,63";"04/04/2013 09:05";"CET";"1800";"6534,00"
"FIPP";"FR0000038184";"FIPP";"NYSE Euronext Paris";"EUR";"0,13";"0,13";"0,13";"0,13";"01/11/2013 17:24";"CET";"896";"116,48"
"FIRSTCAUTION";"CH0120879058";"MLFIR";"Marché Libre Paris";"EUR";"8,00";"8,00";"8,00";"8,00";"31/10/2013 15:00";"CET";"62600";"500800,00"
"FIRSTGROUP";"GB0003452173";"FGPl";"NYSE Arca Europe";"GBX";"114,50";"114,50";"114,50";"114,50";"19/08/2013 11:22";"CET";"100";"11450,00"
"FISHER JAMES&SONS";"GB0003395000";"FSJl";"NYSE Arca Europe";"GBX";"1070,00";"1087,00";"1068,00";"1087,00";"21/08/2013 15:56";"CET";"750";"803397,00"
"FITOR";"PTFIT0AP0004";"FIT";"Easynext Lisbon";"EUR";"0,04";"0,04";"0,04";"0,04";"23/11/2009 14:30";"GMT";"8";"-"
"FLEURY MICHON";"FR0000074759";"FLE";"NYSE Euronext Paris";"EUR";"46,26";"46,26";"46,20";"46,26";"01/11/2013 11:31";"CET";"160";"7395,60"
"FLEXOS (D)";"BE0003885051";"FLEX";"Marché Libre Brussels";"EUR";"5,80";"5,80";"5,80";"5,80";"01/10/2013 15:00";"CET";"10";"58,00"
"FLORIDIENNE";"BE0003215143";"FLOB";"NYSE Euronext Brussels";"EUR";"69,01";"69,01";"69,01";"69,01";"31/10/2013 11:30";"CET";"23";"1587,23"
"FLSMIDTH & CO B";"DK0010234467";"FLSc";"NYSE Arca Europe";"DKK";"348,50";"348,50";"348,50";"348,50";"11/02/2013 15:47";"CET";"98";"34153,00"
"FLUGHAFEN WIEN";"AT0000911805";"FLUv";"NYSE Arca Europe";"EUR";"37,515";"37,515";"37,515";"37,515";"08/06/2011 13:58";"CET";"40";"-"
"FLUXYS BELGIUM D";"BE0974265945";"FLUX";"NYSE Euronext Brussels";"EUR";"27,90";"27,90";"27,90";"27,90";"01/11/2013 11:40";"CET";"100";"2790,00"
"FNG GROUP (D)";"BE0003891117";"FNG";"Marché Libre Brussels";"EUR";"15,00";"15,00";"15,00";"15,00";"31/10/2013 15:00";"CET";"105";"1575,00"
"FOM CON CONTRATAS";"ES0122060314";"FCCe";"NYSE Arca Europe";"EUR";"15,22";"15,22";"15,22";"15,22";"11/04/2012 16:50";"CET";"76";"1156,72"
"FONC. PARIS NORD";"FR0011277391";"FPN";"NYSE Euronext Paris";"EUR";"0,23";"0,24";"0,23";"0,24";"01/11/2013 09:12";"CET";"2586";"618,64"
"FONC.DES REGIONS";"FR0000064578";"FDR";"NYSE Euronext Paris";"EUR";"63,59";"63,94";"62,97";"63,37";"01/11/2013 17:35";"CET";"33898";"2153489,97"
"FONCIER PARIS BS";"FR0010980045";"FPFBS";"NYSE Euronext Paris";"EUR";"1,10";"1,10";"1,10";"1,10";"11/10/2013 10:23";"CET";"700";"770,00"
"FONCIERE 6 ET 7";"FR0010436329";"SRG";"NYSE Euronext Paris";"EUR";"17,35";"17,35";"17,35";"17,35";"01/11/2013 11:30";"CET";"99";"1717,65"
"FONCIERE 7 INVEST";"FR0000065930";"LEBL";"NYSE Euronext Paris";"EUR";"0,66";"0,66";"0,66";"0,66";"31/10/2013 16:30";"CET";"200";"132,00"
"FONCIERE ATLAND";"FR0000064362";"FATL";"NYSE Euronext Paris";"EUR";"58,01";"58,01";"58,01";"58,01";"01/11/2013 09:00";"CET";"1";"58,01"
"FONCIERE DE PARIS";"FR0000034431";"FDPA";"NYSE Euronext Paris";"EUR";"86,14";"86,14";"86,14";"86,14";"01/11/2013 09:00";"CET";"1";"86,14"
"FONCIERE DES MURS";"FR0000060303";"FMU";"NYSE Euronext Paris";"EUR";"19,20";"19,35";"19,20";"19,20";"01/11/2013 17:35";"CET";"721";"13867,07"
"FONCIERE EURIS";"FR0000038499";"EURS";"NYSE Euronext Paris";"EUR";"45,98";"45,98";"45,98";"45,98";"01/11/2013 11:30";"CET";"1";"45,98"
"FONCIERE INEA";"FR0010341032";"INEA";"NYSE Euronext Paris";"EUR";"34,29";"34,29";"34,29";"34,29";"01/11/2013 09:00";"CET";"1";"34,29"
"FONCIERE LYONNAISE";"FR0000033409";"FLY";"NYSE Euronext Paris";"EUR";"39,10";"39,20";"39,00";"39,20";"01/11/2013 17:35";"CET";"1097";"42923,89"
"FONCIERE PARIS FRA";"FR0011581149";"FPF";"NYSE Euronext Paris";"EUR";"111,00";"111,00";"111,00";"111,00";"01/11/2013 09:00";"CET";"1";"111,00"
"FONCIERE R-PARIS";"FR0000063265";"FFBE";"NYSE Euronext Paris";"EUR";"34,97";"34,97";"34,97";"34,97";"08/07/2011 11:30";"CET";"1";"-"
"FONCIERE SEPRIC";"FR0004031292";"SPRIC";"NYSE Euronext Paris";"EUR";"10,59";"10,59";"10,59";"10,59";"01/11/2013 11:30";"CET";"1";"10,59"
"FONCIERE VOLTA";"FR0000053944";"SPEL";"NYSE Euronext Paris";"EUR";"4,50";"4,50";"4,50";"4,50";"29/10/2013 11:30";"CET";"70";"315,00"
"FONDIARIA SAI";"IT0004827447";"FSAm";"NYSE Arca Europe";"EUR";"1,044";"1,053";"1,032";"1,053";"10/09/2012 15:44";"CET";"28025";"36390,048"
"FOOT LOCKER";"US3448491049";"FOOTL";"Traded not listed Amsterdam";"USD";"-";"-";"-";"-";"-";"-";"-";"-"
"FORD MOTOR";"US3453708600";"FORDP";"NYSE Euronext Paris";"EUR";"12,43";"12,50";"12,43";"12,50";"01/11/2013 17:18";"CET";"412";"5149,16"
"FORD MOTOR";"US3453708600";"Fn";"NYSE Arca Europe";"USD";"-";"-";"-";"-";"-";"-";"-";"-"
"FORD MOTOR CERT";"BE0004571122";"F";"NYSE Euronext Brussels";"EUR";"11,28";"11,80";"11,28";"11,80";"31/10/2013 16:30";"CET";"2700";"31444,00"
"FORESTIERE EQUAT.";"CI0000053161";"FORE";"NYSE Euronext Paris";"EUR";"576,00";"576,00";"576,00";"576,00";"28/10/2013 11:31";"CET";"8";"4608,00"
"FORG.TRIE CHATEAU";"FR0000064990";"MLFTC";"Marché Libre Paris";"EUR";"9,00";"9,00";"9,00";"9,00";"03/10/2013 15:00";"CET";"880";"7920,00"
"FORNIX BIOSCIENCES";"NL0000439990";"FORBI";"NYSE Euronext Amsterdam";"EUR";"0,39";"0,395";"0,382";"0,389";"01/11/2013 17:26";"CET";"43059";"16760,01"
"FORTUM";"FI0009007132";"FUM1Vh";"NYSE Arca Europe";"EUR";"14,42";"14,42";"14,42";"14,42";"03/05/2013 14:13";"CET";"670";"9661,40"
"FORTUNA ENTERTAINM";"NL0009604859";"FORTUk";"NYSE Arca Europe";"CZK";"-";"-";"-";"-";"-";"-";"-";"-"
"FOUNTAIN";"BE0003752665";"FOU";"NYSE Euronext Brussels";"EUR";"7,20";"7,20";"7,20";"7,20";"01/11/2013 11:30";"CET";"1300";"9360,00"
"FOUNTAINE PAJOT";"FR0010485268";"ALFPC";"NYSE Alternext Paris";"EUR";"13,37";"13,49";"13,03";"13,03";"01/11/2013 17:14";"CET";"300";"3955,82"
"FOYER";"LU0112960504";"FOY";"NYSE Euronext Brussels";"EUR";"54,81";"54,81";"54,81";"54,81";"01/11/2013 09:00";"CET";"1";"54,81"
"FRANCE CHAUFFAGE";"FR0004260479";"MLFRC";"Marché Libre Paris";"EUR";"18,35";"18,35";"18,35";"18,35";"29/08/2013 15:00";"CET";"80";"1468,00"
"FRAPORT";"DE0005773303";"FRAd";"NYSE Arca Europe";"EUR";"49,55";"49,55";"49,55";"49,55";"07/08/2013 11:21";"CET";"49";"2427,95"
"FRED OLSEN ENERGY";"NO0003089005";"FOEo";"NYSE Arca Europe";"NOK";"250,70";"250,70";"248,60";"249,00";"28/02/2013 14:59";"CET";"2330";"770601,80"
"FREELANCE.COM";"FR0004187367";"ALFRE";"NYSE Alternext Paris";"EUR";"0,90";"0,90";"0,90";"0,90";"30/10/2013 15:30";"CET";"3";"2,70"
"FREEPORT MCMORAN C";"US35671D8570";"FCXn";"NYSE Arca Europe";"USD";"-";"-";"-";"-";"-";"-";"-";"-"
